Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"19/10/20, 11:02",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.8.7
"19/10/20, 11:02",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.7
"19/10/20, 11:02",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '4' of the course with id '7101'.,web,144.82.8.7
"19/10/20, 11:01",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.8.58
"19/10/20, 11:01",Some Instructor,Some Instructor,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '26152' updated the completion state for the course module with id '2421700' for the user with id '26152'.,web,144.82.8.58
"19/10/20, 11:01",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.8.58
"19/10/20, 10:55",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762573' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.9.169
"19/10/20, 10:53",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762573' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.9.4
"19/10/20, 10:52",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762573' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.9.4
"19/10/20, 10:52",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.4
