Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"5/10/20, 07:32",Third Student,Third Student,External tool: Introduction to Language and Linguistics/Part 3,System,Course activity completion updated,The user with id '746609' updated the completion state for the course module with id '2365453' for the user with id '746609'.,web,219.248.25.240
"5/10/20, 07:32",Third Student,Third Student,External tool: Introduction to Language and Linguistics/Part 2,System,Course activity completion updated,The user with id '746609' updated the completion state for the course module with id '2347846' for the user with id '746609'.,web,219.248.25.240
"5/10/20, 07:32",Third Student,Third Student,External tool: Introduction to Language and Linguistics/Part 1,System,Course activity completion updated,The user with id '746609' updated the completion state for the course module with id '2347816' for the user with id '746609'.,web,219.248.25.240
"5/10/20, 07:32",Third Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746609' viewed the course with id '7102'.,web,219.248.25.240
"5/10/20, 05:54",Second Student,Second Student,External tool: Introduction to Language and Linguistics/Part 2,System,Course activity completion updated,The user with id '762410' updated the completion state for the course module with id '2347846' for the user with id '762410'.,web,113.210.205.70
"5/10/20, 05:39",Second Student,-,External tool: Introduction to Language and Linguistics/Part 2,External tool,Course module viewed,The user with id '762410' viewed the 'lti' activity with course module id '2347846'.,web,113.210.205.70
"5/10/20, 05:39",Second Student,Second Student,External tool: Introduction to Language and Linguistics/Part 1,System,Course activity completion updated,The user with id '762410' updated the completion state for the course module with id '2347816' for the user with id '762410'.,web,113.210.205.70
"5/10/20, 05:39",Second Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '762410' viewed the course with id '7102'.,web,113.210.205.70
"5/10/20, 05:24",Third Student,-,File: Lecture 1 slides,File,Course module viewed,The user with id '746609' viewed the 'resource' activity with course module id '2349776'.,web,222.232.254.198
"5/10/20, 05:24",Third Student,-,External tool: Introduction to Language and Linguistics/Part 1,External tool,Course module viewed,The user with id '746609' viewed the 'lti' activity with course module id '2347816'.,web,222.232.254.198
"5/10/20, 05:24",Third Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746609' viewed the course with id '7102'.,web,222.232.254.198
"5/10/20, 04:23",Second Student,-,File: Lecture 1 slides,File,Course module viewed,The user with id '762410' viewed the 'resource' activity with course module id '2349776'.,web,113.210.205.70
"5/10/20, 04:22",Second Student,-,External tool: Introduction to Language and Linguistics/Part 1,External tool,Course module viewed,The user with id '762410' viewed the 'lti' activity with course module id '2347816'.,web,113.210.205.70
"5/10/20, 03:43",Second Student,-,File: READING for WEEK 1 ,File,Course module viewed,The user with id '762410' viewed the 'resource' activity with course module id '2263583'.,web,113.210.205.70
"5/10/20, 03:42",Second Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '762410' viewed the course with id '7102'.,web,113.210.205.70
"5/10/20, 03:40",Second Student,-,URL: Steven Pinker: Linguistics as a window to understanding the Brain ,URL,Course module viewed,The user with id '762410' viewed the 'url' activity with course module id '2263584'.,web,113.210.205.70
"5/10/20, 03:40",Second Student,-,URL: Steven Pinker: Linguistics as a window to understanding the Brain ,URL,Course module viewed,The user with id '762410' viewed the 'url' activity with course module id '2263584'.,web,113.210.205.70
"5/10/20, 03:39",Second Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '762410' viewed the course with id '7102'.,web,113.210.205.70
"5/10/20, 03:39",Second Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '762410' viewed the course with id '7102'.,web,113.210.205.70
